comuna,ica,fecha,id
comuna 15,24,2024-06-25,44756
comuna 7,10,2024-06-25,25635
comuna 6,11,2024-07-31,14565
comuna 8,69,2024-07-31,34551
comuna 5,53,2024-06-25,49849
comuna 1,86,2024-06-23,26638
comuna 3,38,2024-07-31,48694
comuna 14,38,2024-06-25,37964
comuna 2,67,2024-06-25,45890
comuna 6,23,2024-01-30,130
comuna 12,10,2024-06-23,39984
comuna 13,78,2024-06-23,37704
comuna 10,25,2024-06-23,13182
comuna 2,97,2024-06-23,36724
comuna 7,23,2024-07-31,47776
comuna 9,18,2024-06-25,43620
comuna 14,72,2024-07-31,15401
comuna 16,71,2024-06-23,44770
comuna 12,31,2024-06-23,23940
comuna 1,10,2024-06-25,36523
comuna 15,57,2024-01-30,23564
comuna 3,18,2024-01-30,29104
comuna 9,26,2024-01-30,11993
comuna 10,42,2024-01-30,21795
comuna 1,96,2024-06-25,28912
comuna 14,32,2024-07-31,26937
comuna 4,85,2024-06-23,2058
comuna 6,17,2024-07-31,26163
comuna 7,29,2024-07-31,18388
comuna 6,73,2024-06-23,19979
comuna 9,98,2024-06-23,30080
comuna 15,76,2024-06-23,22758
comuna 14,75,2024-07-31,23874
comuna 9,17,2024-06-25,16118
comuna 4,88,2024-06-25,11658
comuna 8,57,2024-07-31,3103
comuna 5,23,2024-06-25,24996
comuna 16,30,2024-06-23,34407
comuna 1,48,2024-07-31,42551
comuna 5,99,2024-01-30,2408
comuna 4,34,2024-06-25,38650
comuna 4,55,2024-06-23,40177
comuna 2,22,2024-06-23,19311
comuna 3,71,2024-07-31,11656
comuna 3,57,2024-06-23,42999
comuna 6,76,2024-06-25,44453
comuna 8,66,2024-07-31,6341
comuna 9,22,2024-06-25,43330
comuna 10,23,2024-01-30,3261
comuna 13,43,2024-01-30,46538
comuna 14,40,2024-01-30,1823
comuna 16,83,2024-06-25,30543
comuna 15,10,2024-06-23,35949
comuna 4,67,2024-07-31,27
comuna 12,97,2024-01-30,45381
comuna 9,47,2024-01-30,2316
comuna 8,73,2024-07-31,45664
comuna 16,57,2024-01-30,25463
comuna 7,69,2024-07-31,44618
comuna 4,32,2024-07-31,13743
comuna 3,70,2024-01-30,49968
comuna 13,24,2024-06-25,32745
comuna 7,54,2024-01-30,42299
comuna 10,84,2024-06-25,46574
comuna 15,100,2024-07-31,17138
comuna 12,16,2024-01-30,38327
comuna 9,14,2024-01-30,38076
comuna 12,91,2024-01-30,38399
comuna 14,10,2024-07-31,22809
comuna 8,72,2024-06-25,30507
comuna 4,61,2024-01-30,5022
comuna 1,89,2024-01-30,21466
comuna 11,94,2024-06-23,1602
comuna 4,72,2024-01-30,1586
comuna 12,99,2024-07-31,12724
comuna 2,24,2024-06-25,16759
comuna 9,68,2024-07-31,2369
comuna 8,57,2024-07-31,29060
comuna 2,86,2024-06-23,38754
comuna 16,63,2024-01-30,11754
comuna 6,55,2024-06-25,45816
comuna 7,14,2024-01-30,469
comuna 10,28,2024-06-23,25380
comuna 12,25,2024-06-23,47271
comuna 13,82,2024-06-23,41008
comuna 5,40,2024-07-31,10847
comuna 14,42,2024-07-31,35107
comuna 1,13,2024-06-23,13736
comuna 15,82,2024-01-30,8763
